Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8
0.560338564592604,0.37309176069006433,0.6277833586176542,0.769808004877218,0.5909517128974392,0.7453736867924794,0.6038421286690913,0.34382595627195245
0.28242736240645605,0.6722106633486391,0.25157835672744544,0.8768552092542131,0.13938425041437053,0.025379374874549776,0.4096933507127626,0.8789657141653173
0.5538608002288301,0.43950971617428203,0.9750563233276874,0.43497816533111644,0.8561462639859835,0.960924807938814,0.6729317376410731,0.796678884042272
0.8807481616776294,0.1381148625374351,0.2666701780976396,0.9992904041612648,0.9250943398520872,0.5789064532980281,0.09334994338367464,0.2246572394992934
0.7649216660002495,0.06684903554808164,0.9471396770895268,0.08075565041366606,0.12830454412524572,0.16280087976396207,0.8942513463997968,0.48257016136111053
0.9148749154611482,0.5933509011642126,0.3784259603512796,0.19611374886163768,0.311539726406061,0.9254790797760273,0.7164959387480669,0.8532654910470111
0.29708770490017256,0.5993120376349953,0.22586576760205712,0.61510432472339,0.1665479072848518,0.9289851230847944,0.7383558704445434,0.8059578075726461
0.3652534566607013,0.717885023660005,0.8039302027883022,0.13866785697810213,0.7975696012134531,0.25345640550803594,0.8701112367080862,0.2141398524602559
0.9932702164263248,0.3465197455677974,0.31985045760937625,0.47603576496733035,0.3133422451538541,0.6523525575327083,0.201935251415448,0.5516235279171964
0.04731572303017595,0.3316753257809528,0.5065789913389915,0.986709700134637,0.6114222631267974,0.9120924361841173,0.43139670749108083,0.08603718560816342
